name,price,state
TELEFON DLA SENIORA -  ŁATWA OBSŁUGA-36 MS GW,104.83,new
SONY XPERIA SP C5303 BLACK GW 24M GREXOR WROCLAW!,1129.0,new
SAMSUNG GALAXY S4 MINI i9195 WHITE FROST ARKADY_WR,1449.0,new
NOWY SAMSUNG S DUOS S7562 LA FLEUR- PROMOCJA-SKLEP,655.0,new
Nowy Samsung i8262 Galaxy Core White i Blue FV 24G,888.0,new
SAMSUNG GALAXY ACE2 i8160 biały FV23%*G24*JANKI,698.0,new
Samsung Galaxy III S3 i9300  SZARY BEZLOKA* JANKI,1445.0,new
Nowy iPhone 4 PL 8GB C.H.SarniStok Bielsko-Biała,1198.0,new
"Telefon SAMSUNG E2250 2"" APARAT 1000 mAh FM",129.0,new
NOWY Samsung i9505 SIV LTE bez SIMLOCKa *LUBLIN*,1999.99,new
!HIT! Smartfon TRACER OXYGEN GS1 DUALSIM GPS WIFI,599.0,new
NOWY HTC DESIRE C WHITE GWARA. 2 LATA DOSTAWA 0,517.0,new
NOWY HTC DESIRE C BLACK GWARA. 2 LATA DOSTAWA 0,517.0,new
Nokia Lumia 520 Czarna,699.0,new
NOWY SAMSUNG S5610 PRIMO GOLD GW. 24-M DOSTAWA 0,299.0,new
NOWY SAMSUNG S5610 PRIMO SILVER GW. 24-M DOSTAWA 0,299.0,new
NOWY SAMSUNG S6312 GALAXY YOUNG DUOS WHITE DOST.0,459.0,new
= NOKIA LUMIA 925 32GB = BLACK/Czarny = WROCLAW =,1888.0,new
NOWY LG L5 E610 BEZ LOCKA Gw24m FAKTURA wys.GRATIS,539.0,new
NOWA NOKIA 203 WH-SV GWARANCJA 24MC DOSTAWA 0,217.0,new
Nokia Lumia 620 Biała,899.0,new
NOWA NOKIA ASHA 300 RED GWARANCJA 24-M DOSTAWA 0,327.0,new
= SONY Xperia Z = C6603 = White Biała = od Ręki =,1717.0,new
NOWY SAMSUNG S6312 GALAXY YOUNG DUOS BLUE DOST.0,459.0,new
HIT NOKIA ASHA 206 2xSIM BLACK +ETUI 24GW PL FV23%,225.0,new
SAMSUNG i9195 Galaxy S4 MINI = LTE = WHITE/BIAŁY,1425.0,new
NOWY SONY XPERIA SP C5303 LTE WH GW 24-M DOSTAWA 0,1249.0,new
NOWY SAMSUNG B2100 RED GWAR. 24-M DOSTAWA GRATIS,278.0,new
NOWY SAMSUNG C1010 S4 ZOOM BLACK GW 24-M DOSTAWA 0,1712.0,new
NOWY SAMSUNG I8190 GALAXY S3 MINI BROWN DOSTAWA 0,949.0,new
